session.code,difi_pregame_mean,difi_pregame_var,difi_overlap_pregame_mean,difi_overlap_pregame_var,requestDiversity_mean,requestDiversity_var,participationRate_mean,participationRate_var,correctResponseRate_mean,correctResponseRate_var,letterRequestRate_mean,letterRequestRate_var,difi_linear_postgame_mean,difi_linear_postgame_var,difi_overlap_postgame_mean,difi_overlap_postgame_var,responseTimes_mean,responseTimes_var,pggContribution_mean,pggContribution_var
0j9gkpml,31.2,5922.7,40.0,3000.0,,,,,,,,,37.8,5299.7,43.6,2548.8,52.8333333333,829.366666667,38.3333333333,806.666666667
0v7aydut,39.875,3014.38333333,38.0,1484.4,,,,,,,,,51.8125,2573.49583333,49.4375,1630.12916667,42.5,526.133333333,45.375,1035.58333333
20pmmmna,54.5,5795.71428571,53.75,1749.07142857,,,,,,,,,57.625,6289.125,56.375,2226.83928571,62.375,394.839285714,60.625,1274.55357143
2413scgn,49.1111111111,2889.61111111,42.6666666667,2055.25,,,,,,,,,56.1111111111,2019.61111111,46.0,1434.5,41.5555555556,626.277777778,76.1111111111,754.861111111
2m9rd2cp,21.6111111111,2442.83986928,20.6111111111,1042.25163399,5.0,0.923076923077,1362.348659,5514732.58182,1.4731422342,2.90217179601,3.758416086,19.5338914756,47.8333333333,987.424242424,42.4166666667,1164.26515152,52.2142857143,941.412087912,57.3571428571,1535.17032967
2mvuz23s,53.25,4272.78571429,46.5,2123.14285714,,,,,,,,,66.5,4606.85714286,57.0,2196.28571429,43.75,398.785714286,50.625,1260.26785714
31f1vzlc,71.2307692308,3417.02564103,57.6923076923,2365.23076923,4.5,3.38888888889,2242.5483871,8407010.63819,2.26103590835,6.3752140084,6.28559864109,97.4607647575,78.8,3261.28888889,68.7,1577.34444444,62.3636363636,855.454545455,59.0909090909,749.090909091
3k2emuiz,33.4444444444,2999.02777778,36.2222222222,1398.69444444,,,,,,,,,34.6666666667,5089.0,42.8888888889,1904.86111111,38.5555555556,191.277777778,39.5555555556,1705.52777778
3nmquptg,63.6,3364.3,52.8,2125.2,,,,,,,,,82.8,1210.7,73.8,974.2,46.4,704.8,62.0,1320.0
4fs4fgfk,67.7777777778,3245.19444444,57.5555555556,2393.52777778,,,,,,,,,67.625,3110.83928571,56.25,2232.21428571,62.875,799.553571429,46.75,823.071428571
