session.code,difi_pregame_mean,difi_pregame_var,difi_overlap_pregame_mean,difi_overlap_pregame_var,requestDiversity_mean,requestDiversity_var,participationRate_mean,participationRate_var,correctResponseRate_mean,correctResponseRate_var,letterRequestRate_mean,letterRequestRate_var,difi_linear_postgame_mean,difi_linear_postgame_var,difi_overlap_postgame_mean,difi_overlap_postgame_var,responseTimes_mean,responseTimes_var,pggContribution_mean,pggContribution_var
0j9gkpml,31.2,5922.7,40.0,3000.0,,,,,,,,,37.8,5299.7,43.6,2548.8,52.8333333333,829.366666667,38.3333333333,806.666666667
0mv7j8p9,61.3333333333,4981.06666667,52.0,2779.6,6.6,18.8,4210.09195402,25090353.7821,8.80540542603,88.4450033745,9.09376186877,61.7280219795,90.5,3459.66666667,75.25,2450.25,54.25,589.583333333,46.25,2022.91666667
0v7aydut,39.875,3014.38333333,38.0,1484.4,,,,,,,,,51.8125,2573.49583333,49.4375,1630.12916667,42.5,526.133333333,45.375,1035.58333333
20pmmmna,54.5,5795.71428571,53.75,1749.07142857,,,,,,,,,57.625,6289.125,56.375,2226.83928571,62.375,394.839285714,60.625,1274.55357143
239cmkfa,59.75,2092.91666667,47.5,1433.66666667,7.25,4.25,4186.04225352,20066003.8125,3.41515308839,10.9273776414,8.71920642682,102.744034047,58.0,240.0,53.0,339.333333333,55.5,728.333333333,62.5,2291.66666667
2413scgn,49.1111111111,2889.61111111,42.6666666667,2055.25,,,,,,,,,56.1111111111,2019.61111111,46.0,1434.5,41.5555555556,626.277777778,76.1111111111,754.861111111
2m9rd2cp,21.6111111111,2442.83986928,20.6111111111,1042.25163399,5.0,0.923076923077,1362.348659,5514732.58182,1.4731422342,2.90217179601,3.758416086,19.5338914756,47.8333333333,987.424242424,42.4166666667,1164.26515152,52.2142857143,941.412087912,57.3571428571,1535.17032967
2mvuz23s,53.25,4272.78571429,46.5,2123.14285714,,,,,,,,,66.5,4606.85714286,57.0,2196.28571429,43.75,398.785714286,50.625,1260.26785714
31f1vzlc,71.2307692308,3417.02564103,57.6923076923,2365.23076923,4.5,3.38888888889,2242.5483871,8407010.63819,2.26103590835,6.3752140084,6.28559864109,97.4607647575,78.8,3261.28888889,68.7,1577.34444444,62.3636363636,855.454545455,59.0909090909,749.090909091
3k2emuiz,33.4444444444,2999.02777778,36.2222222222,1398.69444444,,,,,,,,,34.6666666667,5089.0,42.8888888889,1904.86111111,38.5555555556,191.277777778,39.5555555556,1705.52777778
3nmquptg,63.6,3364.3,52.8,2125.2,,,,,,,,,82.8,1210.7,73.8,974.2,46.4,704.8,62.0,1320.0
4fs4fgfk,67.7777777778,3245.19444444,57.5555555556,2393.52777778,,,,,,,,,67.625,3110.83928571,56.25,2232.21428571,62.875,799.553571429,46.75,823.071428571
5dbazi94,43.25,2798.25,34.0,2014.0,,,,,,,,,29.75,6609.58333333,47.0,1759.33333333,56.5,2125.66666667,51.25,1172.91666667
5g3has3t,34.5714285714,5523.28571429,40.7142857143,1924.9047619,,,,,,,,,60.8571428571,2656.47619048,50.8571428571,1925.80952381,48.2857142857,535.904761905,75.7142857143,628.571428571
